,Food,Fodder,Fuelwood,Water,Coal,Oil,Natural Gas,Primary electricity
,,,,Wind,,,,
,,,,,,,,
1988,8.2,1,13.9,0,14.4,53.7,0,8.7
1989,7.3,0.9,12,0,15.6,60.3,0,3.8
1990,7.2,0.8,13.6,0,16.1,57.6,0,4.7
1991,7,0.7,13.6,0,16.4,57.8,0,4.5
1992,6.6,0.7,12.7,0,15.7,61.3,0,2.9
1993,6.8,0.6,12.7,0,17,58.7,0,4.2
1994,6.8,0.6,12.4,0,17.6,57.5,0,5.3
1995,6.4,0.5,12.1,0,18,59,0,4.1
1996,6.4,0.4,12,0,17,57.3,0,6.9
1997,5.9,0.4,11.7,0,16.5,58.6,0.4,6.5
1998,5.9,0.3,11.1,0.1,14.4,59.9,3.1,5.2
1999,5.7,0.3,10.7,0.1,15.5,57.3,8.1,2.5
2000,5.6,0.2,10.9,0.1,15.5,54.5,8.7,4.5
2001,5.7,0.2,10.9,0.1,12.9,55.8,9.2,5.2
2002,5.5,0.2,10.7,0.1,13.6,55.8,10.6,3.5
2003,5.7,0.2,11.2,0.1,13.3,52.4,10.5,6.6
2004,5.6,0.2,11,0.1,13.1,51.3,12.9,5.9
2005,5.5,0.2,10.9,0.1,12.7,51.8,14.3,4.5
2006,5.7,0.1,11.4,0.1,12.9,49,14.1,6.7
2007,5.6,0.1,12.3,0.1,11.2,48.9,14.5,7.2
2008,5.8,0.1,12.5,0.1,10,47.7,16.2,7.5
