Country,Region,modern_rate,modern_rate_norm,Year
Libya,Af,0.3424559540402811,0.4863137964084518,1950
Malawi,Af,0.3424559540402811,0.4863137964084518,1950
Morocco,Af,0.3424559540402811,0.4863137964084518,1950
Nigeria,Af,0.3424559540402811,0.4863137964084518,1950
South Africa,Af,0.3424559540402811,0.4863137964084518,1950
Tunisia,Af,0.3424559540402811,0.4863137964084518,1950
Zambia,Af,0.3424559540402811,0.4863137964084518,1950
Zimbabwe,Af,0.3424559540402811,0.4863137964084518,1950
Canada,,0.8380000000000001,0.8524923702950155,1950
USA,,0.92542466958507,0.9559853329156974,1950
Australia,O,0.7521203933048112,0.7919087299772848,1950
New Zealand,O,0.7521203933048112,0.7919087299772848,1950
Austria,WE,0.9414907560271712,0.9972108751981472,2000
Belgium,WE,0.9414907560271712,0.9972108751981472,2000
Denmark,WE,0.9414907560271712,0.9972108751981472,2000
Finland,WE,0.9414907560271712,0.9972108751981472,2000
France,WE,0.897,0.9781897491821154,2000
Germany,WE,0.946,0.9782833505687692,2000
Greece,WE,0.9414907560271712,0.9972108751981472,2000
Ireland,WE,0.9414907560271712,0.9972108751981472,2000
Italy,WE,0.931,0.9957219251336896,2000
Netherlands,WE,0.9414907560271712,0.9972108751981472,2000
Norway,WE,0.9414907560271712,0.9972108751981472,2000
Portugal,WE,0.8320000000000001,0.9964071856287428,2000
Spain,WE,0.916,0.992416034669556,2000
Sweden,WE,0.7290000000000001,0.8136160714285716,2000
Switzerland,WE,0.9414907560271712,0.9972108751981472,2000
UK,WE,0.9414907560271712,0.9972108751981472,2000
Bulgaria,EE,0.9411142332127524,0.9860727713140413,2000
Czechoslovakia,EE,0.9411142332127524,0.9860727713140413,2000
Hungary,EE,0.9411142332127524,0.9860727713140413,2000
Poland,EE,0.9411142332127524,0.9860727713140413,2000
Romania,EE,0.9411142332127524,0.9860727713140413,2000
USSR,EE,0.9411142332127524,0.9860727713140413,2000
Yugoslavia,EE,0.9411142332127524,0.9860727713140413,2000
Argentina,LA,0.8500003115517146,0.9610784119661008,2000
Bolivia,LA,0.8500003115517146,0.9610784119661008,2000
Brazil,LA,0.8500003115517146,0.9610784119661008,2000
Chile,LA,0.8500003115517146,0.9610784119661008,2000
Colombia,LA,0.8500003115517146,0.9610784119661008,2000
Costa Rica,LA,0.8500003115517146,0.9610784119661008,2000
Cuba,LA,0.8500003115517146,0.9610784119661008,2000
Dominican Republic,LA,0.8500003115517146,0.9610784119661008,2000
Ecuador,LA,0.8500003115517146,0.9610784119661008,2000
El Salvador,LA,0.8500003115517146,0.9610784119661008,2000
Guatemala,LA,0.8500003115517146,0.9610784119661008,2000
Haiti,LA,0.8500003115517146,0.9610784119661008,2000
Honduras,LA,0.8500003115517146,0.9610784119661008,2000
Mexico,LA,0.8500003115517146,0.9610784119661008,2000
Nicaragua,LA,0.8500003115517146,0.9610784119661008,2000
Panama,LA,0.8500003115517146,0.9610784119661008,2000
Paraguay,LA,0.8500003115517146,0.9610784119661008,2000
Peru,LA,0.8500003115517146,0.9610784119661008,2000
Uruguay,LA,0.835,1.0,2000
Venezuela,LA,0.8500003115517146,0.9610784119661008,2000
China,As,0.7480962827177933,0.8497498897869282,2000
India,As,0.7480962827177933,0.8497498897869282,2000
Indonesia,As,0.7480962827177933,0.8497498897869282,2000
Japan,As,0.999914,0.999947,2000
Malaysia,As,0.7480962827177933,0.8497498897869282,2000
Philippines,As,0.7480962827177933,0.8497498897869282,2000
Thailand,As,0.7480962827177933,0.8497498897869282,2000
Iran,ME,0.9180401939696315,0.965589935721797,2000
Iraq,ME,0.9180401939696315,0.965589935721797,2000
Israel,ME,0.9180401939696315,0.965589935721797,2000
Saudi Arabia,ME,0.9180401939696315,0.965589935721797,2000
Syria,ME,0.9180401939696315,0.965589935721797,2000
Turkey,ME,0.9180401939696315,0.965589935721797,2000
Algeria,Af,0.6642547824800047,0.9432928855204676,2000
Congo DR,Af,0.6642547824800047,0.9432928855204676,2000
Egypt,Af,0.6642547824800047,0.9432928855204676,2000
Ethiopia Eritrea,Af,0.6642547824800047,0.9432928855204676,2000
Libya,Af,0.6642547824800047,0.9432928855204676,2000
Malawi,Af,0.6642547824800047,0.9432928855204676,2000
Morocco,Af,0.6642547824800047,0.9432928855204676,2000
Nigeria,Af,0.6642547824800047,0.9432928855204676,2000
South Africa,Af,0.6642547824800047,0.9432928855204676,2000
Tunisia,Af,0.6642547824800047,0.9432928855204676,2000
Zambia,Af,0.6642547824800047,0.9432928855204676,2000
Zimbabwe,Af,0.6642547824800047,0.9432928855204676,2000
Canada,,0.98,0.9969481180061038,2000
USA,,0.9643663108798995,0.996212959367684,2000
Australia,O,0.9381514627359556,0.9877811318439758,2000
New Zealand,O,0.9381514627359556,0.9877811318439758,2000
